City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
190,polyarnyy,69.1989,33.4478,3.88,81,100,8.53,RU,1686269406
191,kingston,17.997,-76.7936,27.91,89,100,4.02,JM,1686269406
192,khandyga,62.6667,135.6,18.81,39,87,1.77,RU,1686269406
193,coquimbo,-29.9533,-71.3436,14.58,89,40,2.07,CL,1686269346
194,khorixas,-20.3667,14.9667,13.57,41,0,0.5,NA,1686269406
195,bardai,11.65,7.2333,23.22,78,100,4.01,NG,1686269407
196,ust'-kulom,61.6864,53.6902,3.33,78,20,0.92,RU,1686269407
197,bandar-e lengeh,26.5579,54.8807,29.57,79,0,0.91,IR,1686269407
198,puerto yuca,2.9383,-73.2083,22.82,98,92,2.16,CO,1686269407
199,ceeldheer,3.8488,47.1806,25.72,85,85,7.54,SO,1686269407
200,viedma,-40.8135,-62.9967,21.16,37,62,13.71,AR,1686269408
201,tura,25.5198,90.2201,25.13,87,100,1.94,IN,1686269408
202,khvoynaya,58.9,34.5333,7.21,82,21,1.61,RU,1686269408
203,georgetown,5.4112,100.3354,28.96,84,20,0.0,MY,1686269300
204,uturoa,-16.7333,-151.4333,26.35,66,93,9.32,PF,1686269408
205,revda,56.801,59.9303,5.47,98,23,1.49,RU,1686269409
206,arroyo,41.6096,-4.7969,16.02,90,75,1.03,ES,1686269409
207,boyolangu,-8.1181,111.8935,24.75,88,66,3.16,ID,1686269409
208,bor,56.3567,44.0669,7.96,87,1,2.28,RU,1686269409
209,urangan,-25.3,152.9,20.25,72,22,2.35,AU,1686269409
210,eyl,7.9803,49.8164,26.47,82,78,8.78,SO,1686269409
211,sanctuary point,-35.1114,150.629,18.32,52,39,5.03,AU,1686269410
212,pacific grove,36.6177,-121.9166,21.42,73,0,5.14,US,1686269211
213,yeppoon,-23.1333,150.7333,19.88,66,1,1.26,AU,1686269410
214,palo santo,-25.5633,-59.3378,20.94,57,0,3.12,AR,1686269410
215,san patricio,28.017,-97.5169,33.42,63,35,5.98,US,1686269410
216,wailua homesteads,22.0669,-159.378,29.24,72,20,5.14,US,1686269411
217,nar'yan-mar,67.6713,53.087,5.04,82,99,2.32,RU,1686269411
218,vilyuchinsk,52.9306,158.4028,16.81,63,53,2.64,RU,1686269411
219,sitka,57.0531,-135.33,12.94,76,100,3.6,US,1686269357
220,geraldton,-28.7667,114.6,8.23,93,0,3.09,AU,1686269411
221,nova sintra,14.8667,-24.7167,21.82,83,2,3.4,CV,1686269411
222,jiuquan,39.7432,98.5174,25.15,16,71,1.27,CN,1686269412
223,sao joao da barra,-21.6403,-41.0511,20.05,83,0,5.58,BR,1686269412
224,vuktyl,63.8567,57.3094,2.96,70,11,1.09,RU,1686269412
225,tsiombe,-25.3,45.4833,19.15,71,0,1.48,MG,1686269412
226,launceston,-41.45,147.1667,9.53,83,62,5.66,AU,1686269412
227,dalandzadgad,43.5708,104.425,20.87,32,75,2.34,MN,1686269412
228,st. john's,47.5649,-52.7093,11.27,91,63,0.89,CA,1686269400
229,artigas,-30.4,-56.4667,17.77,80,17,4.17,UY,1686269413
230,dunedin,-45.8742,170.5036,7.67,70,62,2.68,NZ,1686269413
231,tabou,4.423,-7.3528,25.92,87,98,1.32,CI,1686269413
232,karasburg,-28.0167,18.75,7.0,89,4,2.51,NA,1686269413
233,tocopilla,-22.092,-70.1979,18.05,72,17,3.96,CL,1686269413
234,loa janan,-0.583,117.095,24.99,91,89,1.6,ID,1686269413
235,yamada,39.4667,141.95,15.16,98,100,5.21,JP,1686269414
236,robore,-18.3333,-59.75,21.64,70,0,1.66,BO,1686269414
237,al bawiti,28.3492,28.8659,29.21,33,82,3.79,EG,1686269237
238,el bayadh,33.6832,1.0193,19.81,71,59,6.19,DZ,1686269414
239,mar del plata,-38.0023,-57.5575,20.61,95,100,8.23,AR,1686269135
240,whakatane,-37.9585,176.9854,17.51,70,16,2.24,NZ,1686269414
241,port hedland,-20.3167,118.5667,17.03,39,75,2.57,AU,1686269415
242,auki,-8.7676,160.7034,29.25,66,69,1.16,SB,1686269415
243,cide,41.8921,33.0044,18.81,88,91,2.82,TR,1686269415
244,akrehamn,59.2667,5.1833,9.67,87,20,0.0,NO,1686269415
245,n'zeto,-7.2312,12.8666,21.94,89,39,1.45,AO,1686269415
246,celendin,-6.8703,-78.1517,12.88,84,71,1.26,PE,1686269415
247,prado,-17.3411,-39.2208,21.91,87,4,2.83,BR,1686269236
248,kruisfontein,-34.0033,24.7314,14.94,63,72,3.32,ZA,1686269416
249,christchurch,-43.5333,172.6333,10.53,82,100,0.89,NZ,1686269136
250,lecheng,25.1238,113.3254,27.01,90,59,0.75,CN,1686269416
251,pangody,65.85,74.4859,4.4,56,17,4.61,RU,1686269416
252,la ronge,55.1001,-105.2842,20.42,34,0,4.19,CA,1686269416
253,vila franca do campo,37.7167,-25.4333,17.23,84,100,2.9,PT,1686269416
254,bria,6.5423,21.9863,20.9,97,78,1.35,CF,1686269416
255,koungou,-12.7336,45.2042,23.84,94,0,1.54,YT,1686269416
256,pahrump,36.2083,-115.9839,29.13,22,12,2.68,US,1686269287
257,shumikha,55.2261,63.2961,12.75,76,64,3.65,RU,1686269417
258,meiganga,6.5167,14.3,19.01,97,99,1.42,CM,1686269417
259,ormond-by-the-sea,29.3491,-81.0665,30.13,54,20,5.14,US,1686269417
260,newman,37.3138,-121.0208,29.13,47,39,2.24,US,1686269417
261,bilibino,68.0546,166.4372,18.3,31,4,1.3,RU,1686269417
262,tamanrasset,22.785,5.5228,24.95,12,0,1.54,DZ,1686269418
263,nadym,65.5333,72.5167,5.54,58,88,2.27,RU,1686269329
264,kuanda,56.3161,116.0806,14.5,53,4,1.55,RU,1686269418
265,komatsu,36.4026,136.4509,20.99,94,75,4.12,JP,1686269196
266,kalmunai,7.4167,81.8167,26.29,82,89,1.77,LK,1686269418
267,bridgewater,44.3835,-64.5155,11.73,87,39,0.45,CA,1686269418
268,san rafael,-34.6177,-68.3301,19.24,25,24,4.62,AR,1686269418
269,scarborough,54.2797,-0.4044,11.48,81,67,1.79,GB,1686269290
270,midvagur,62.0511,-7.1939,8.46,93,100,3.6,FO,1686269419
271,maraba,-5.3686,-49.1178,25.1,100,0,0.0,BR,1686269419
272,kapa'a,22.0752,-159.319,29.99,72,20,5.14,US,1686269419
273,ulanhot,46.0833,122.0833,14.67,63,99,6.78,CN,1686269419
274,kailua-kona,19.6406,-155.9956,27.98,82,75,4.12,US,1686269419
275,taichung,24.1469,120.6839,27.84,83,75,3.09,TW,1686269283
276,isangel,-19.55,169.2667,23.55,53,2,4.02,VU,1686269420
277,fukuecho,32.6881,128.8419,21.21,77,100,1.82,JP,1686269420
278,fortuna,40.5982,-124.1573,15.19,89,100,4.63,US,1686269420
279,homeland,33.7431,-117.1092,27.51,50,0,6.69,US,1686269420
280,garoowe,8.4054,48.4845,25.47,73,52,10.23,SO,1686269123
281,ballina,-28.8667,153.5667,19.88,57,0,3.54,AU,1686269421
282,afaahiti,-17.75,-149.2833,27.93,67,72,8.02,PF,1686269421
283,yemva,62.59,50.8594,4.98,66,86,2.17,RU,1686269421
284,gagliano del capo,39.8442,18.3695,18.78,76,4,2.38,IT,1686269421
285,lazaro cardenas,17.9583,-102.2,29.18,68,52,4.18,MX,1686269421
286,trinity beach,-16.7888,145.6968,26.67,71,75,4.63,AU,1686269422
287,el abiodh sidi cheikh,32.893,0.5484,25.39,52,96,8.75,DZ,1686269422
288,borca,47.1833,25.7667,13.89,93,100,1.49,RO,1686269422
289,ujae,8.9322,165.7642,28.43,81,40,7.99,MH,1686269422
290,ancud,-41.8697,-73.8203,7.48,66,72,7.3,CL,1686269422
291,calafindesti,47.85,26.1167,15.75,71,100,2.39,RO,1686269422
292,verkhniy baskunchak,48.2256,46.7217,20.39,37,91,2.78,RU,1686269423
293,lihue,21.9789,-159.3672,29.58,68,20,5.14,US,1686269423
294,sheridan,44.8333,-106.9173,25.21,50,0,2.57,US,1686269423
295,kimbe,-5.5502,150.1429,30.42,64,91,2.44,PG,1686269423
296,severodvinsk,64.5635,39.8302,7.16,97,100,4.12,RU,1686269423
297,kone,-21.0595,164.8658,25.41,40,0,1.11,NC,1686269424
298,niort,46.3333,-0.3333,20.09,75,86,3.32,FR,1686269424
299,kapuskasing,49.4169,-82.4331,20.44,51,63,1.02,CA,1686269424
300,sainte-anne-des-monts,49.124,-66.4924,9.92,95,100,5.18,CA,1686269424
301,mata-utu,-13.2816,-176.1745,27.99,77,45,2.26,WF,1686269424
302,coahuayana de hidalgo,18.7,-103.6583,28.55,71,39,2.9,MX,1686269424
303,puerto baquerizo moreno,-0.9,-89.6,25.73,80,96,5.35,EC,1686269425
304,shizunai-furukawacho,42.3339,142.3669,14.39,94,100,7.5,JP,1686269425
305,bamboo flat,11.7,92.7167,27.87,85,100,8.25,IN,1686269425
306,kamphaeng phet,16.25,99.5,25.21,90,100,1.97,TH,1686269425
307,labrador city,52.9463,-66.9114,9.95,81,100,2.57,CA,1686269126
308,novofedorivka,46.1713,32.3178,16.72,73,37,5.06,UA,1686269426
309,playa del ingles,27.7567,-15.5787,20.86,80,99,1.97,ES,1686269411
310,richmond,37.5538,-77.4603,21.19,68,20,3.6,US,1686269426
311,saipan,15.1355,145.701,31.39,100,20,4.12,MP,1686269426
312,carutapera,-1.195,-46.02,24.75,91,16,2.65,BR,1686269426
313,porto-vecchio,41.591,9.2795,18.81,88,0,5.66,FR,1686269426
314,ryotsu-minato,38.0833,138.4333,17.73,93,100,2.64,JP,1686269427
315,laguna,38.421,-121.4238,29.08,43,0,4.63,US,1686269427
316,coracora,-15.0333,-73.7833,9.71,60,0,0.33,PE,1686269427
317,kavaratti,10.5669,72.642,29.57,76,99,9.78,IN,1686269427
318,tralee,52.2704,-9.7026,14.81,80,81,4.38,IE,1686269428
319,lop buri,14.7981,100.654,27.81,76,100,2.43,TH,1686269428
320,sirjan,29.452,55.6814,21.07,42,26,3.03,IR,1686269431
321,birzebbuga,35.8258,14.5269,20.08,82,0,0.51,MT,1686269431
